,RandSimilar,MajorityVote,RandDifferent,MinorityVote,MajorCNN,MinorCNN,MajorWavelet,MinorWavelet,MajorJzAzBz,MinorJzAzBz,MajorRGB,MinorRGB,MajorIsBenchmark,MinorIsBenchmark
0,103355,10,491072,2,0.442574904824959,0.3981587349763227,0.6518123350536774,0.9243028450479732,0.36556264879252215,0.7151610561466121,0.4092402830174013,0.5304421833888797,False,False
1,149503,16,107450,0,0.7272791953710471,0.48864091894591677,0.7645278122850694,0.7791637052557203,0.7683550691128872,0.7645419241613287,0.3813193308984248,0.7309791720059298,True,False
2,110268,7,17955,5,0.7101069969122691,0.6380616669527533,0.6007860014167449,0.3503829118139938,0.4531070795785559,0.5553442354441064,0.41385613381880587,0.5551969416841658,True,False
3,732180,6,114352,5,0.6328946960319747,0.5540841939768307,0.7255147782793759,0.3428846085144582,0.36795492690863446,0.5209007994216582,0.4435620528785491,0.5606592765970533,True,False
4,120151,12,618992,1,0.28541922994547264,0.3650218221252386,0.852557634577865,0.6851511327156953,0.6096156717433406,0.6769035736813697,0.4053128589313379,0.6511212153950134,False,False
5,121958,6,568550,0,0.8020383950127428,0.7878105616778593,0.9268485668626119,0.47668280333572594,0.2463573417578959,0.7306795886046665,0.1842680109882104,0.6174558968535848,True,False
6,349457,6,125657,2,0.8149191515409777,0.4242222733111139,0.8612205438908992,0.9119438639340185,0.6242260338923776,0.44786513316646004,0.4111722135893466,0.41070427133960985,True,False
7,128148,4,791743,2,0.2983410852674868,0.5607821559801354,0.866637934377267,0.6377566822529167,0.7001072135388478,0.525654596700055,0.4002420441150981,0.476324703301453,False,True
8,128391,5,822352,3,0.6337385624540184,0.5285774230239167,0.3532603496729975,0.255563718954284,0.5732094435518141,0.5318926960873014,0.5576004822255038,0.6704947847929995,False,False
9,239931,12,129473,0,0.7331629244151302,0.4830857755182815,0.9670484535664742,0.9052348312181062,0.7999797585377205,0.41909628125614073,0.32266603894103896,0.30687503155745044,True,False
10,129981,15,329365,0,0.923966115330724,0.634855840642933,0.9682208483280892,0.5049149394919648,0.7909751961757144,0.5964285775743647,0.2416237538972915,0.6451740393981549,True,True
11,131932,7,889765,6,0.6608562862715103,0.6812521535017834,0.8360598574230026,0.3578899172174851,0.5821637901242789,0.3997739835300258,0.45148523204517077,0.5886909536288577,True,False
12,764121,10,135230,6,0.4560236390600182,0.3752292284950992,0.5042883696985684,0.772046188814756,0.40191047504428784,0.6669334767984972,0.4671031090253995,0.6092857433213447,False,False
13,137337,8,385777,3,0.7000187186015054,0.3612630884692011,0.7993596571605727,0.9434160997675662,0.6007094509924208,0.7229772695417523,0.5632619682222564,0.3837641744391974,True,False
14,912756,12,139182,2,0.6779042225861915,0.6662550749100018,0.6386232811904305,0.2717594626619105,0.30283687586078856,0.43666421661832616,0.376884832254549,0.5711111126478818,True,False
15,149503,15,858158,0,0.7272791953710471,0.5025716289098967,0.7645278122850694,0.4242689512744873,0.7683550691128872,0.6407623745303008,0.3813193308984248,0.6603188631144694,True,False
16,288790,6,152617,1,0.5713308593113929,0.36011727322439446,0.35055150656569023,0.9226985433223356,0.6279467959542596,0.7323888631202391,0.6016683194204394,0.549966479724368,False,False
17,718315,3,155576,3,0.8458863041298921,0.42213276579059167,0.7099998379857657,0.8927406163211299,0.3287955487941396,0.6556078898910725,0.24759125939015797,0.31424896336501473,True,False
18,416880,8,156542,4,0.3719724052652932,0.8049051842827737,0.9480496584335759,0.49854818142296803,0.8539501692081525,0.4658761636147664,0.5362926147212701,0.5873134564326727,False,False
19,347449,8,156730,6,0.7853814194831826,0.7610668653563666,0.9059539707350718,0.3991089073030259,0.5945149523792973,0.34202012731620907,0.5494523609813278,0.4213631377412256,True,False
20,157164,11,612210,1,0.7452730830316483,0.5328348688816286,0.37204977645345655,0.16500992476877951,0.29903313402943565,0.47230799114829614,0.4632008322989238,0.6995028939722071,False,False
21,152617,6,158823,5,0.36011727322439446,0.46531798352074105,0.9226985433223356,0.942640501186807,0.7323888631202391,0.7372525981260706,0.549966479724368,0.5084951732852029,False,False
22,691095,6,171829,1,0.35379091013706876,0.5031239596185123,0.8858964701217474,0.43947629517172937,0.778849264876333,0.7120989558366922,0.40439889689987385,0.7124165885361547,False,False
23,486232,11,171836,1,0.7606773218295269,0.4042390135582627,0.8170751705374472,0.5619233342288368,0.5265273277049117,0.5671762475838817,0.4721593240425339,0.5501518685333007,True,False
24,328947,10,171890,5,0.7690793087820764,0.5870287814652485,0.7218937569839725,0.3027984506847416,0.6121260825078071,0.5789615482440876,0.5264006287489701,0.7383595622083208,True,False
